Altium Designer Pick and Place Locations
C:\Users\Satyam.DESKTOP-S570OAU\OneDrive - Vylt Technologies Private Limited\Altium_Designs\VYLT_IOT_CCM\Project Outputs for VYLT_IOT_CCM\Pick Place\Pick Place for VYLT_IOT_CCM.csv

========================================================================================================================
File Design Information:

Date:       18-02-25
Time:       15:39
Revision:   6d0fcf2e3da5a5eebe4b985b0d0e21f4125c18e2
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"M2","TopLayer","27.1500","29.2600","180","ESP32-S3-WROOM 1/1U Module"
"SW7","TopLayer","42.2500","6.2500","270","Tactile Switch SPST-NO Top Actuated Surface Mount"
"SW6","TopLayer","49.0000","6.2500","90","Tactile Switch SPST-NO Top Actuated Surface Mount"
"R56","TopLayer","14.7500","42.2500","0","RES_0603"
"R55","TopLayer","39.7500","35.5000","180","RES_0603"
"R54","TopLayer","39.7500","37.0000","180","RES_0603"
"R53","TopLayer","24.5000","45.7500","90","RES_0603"
"R52","TopLayer","39.7500","38.5000","180","RES_0603"
"R51","TopLayer","39.7500","40.0000","0","RES_0603"
"R50","TopLayer","47.5000","15.0000","0","RES_0603"
"R49","TopLayer","37.2500","8.5000","90","RES_0603"
"J19","TopLayer","19.0000","46.1150","180","USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Through Hole"
"D5","TopLayer","37.2500","3.7500","90","LED CLEAR 1206 SMD"
"C61","TopLayer","47.7500","13.2500","0","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C60","TopLayer","38.5000","20.7500","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"J32","TopLayer","87.5000","21.0000","0","7 (6 + 1) Position Card Connector NANO SIM Surface Mount, Right Angle Gold"
"TP3","TopLayer","17.2300","4.7500","0",""
"TP6","TopLayer","24.8500","4.7500","0",""
"TP4","TopLayer","19.7516","4.7500","90",""
"J23","TopLayer","53.5000","76.2500","270","2PX1R"
"J25","TopLayer","11.0000","41.0000","90","6PX1R Female Header"
"J24","TopLayer","8.0000","41.0000","90","6PX1R Female Header"
"J13","TopLayer","45.0000","53.7500","0","2PX1R"
"J12","TopLayer","41.7500","75.7500","270","2PX1R"
"SW3","TopLayer","64.7500","6.2500","270","Tactile Switch SPST-NO Top Actuated Surface Mount"
"SW2","TopLayer","71.2351","6.2500","270","Tactile Switch SPST-NO Top Actuated Surface Mount"
"R34","BottomLayer","66.5000","13.0667","180","RES_0603"
"R32","BottomLayer","66.5000","17.0604","180","RES_0603"
"C15","TopLayer","80.7500","48.5000","315","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"R33","TopLayer","56.5000","8.5000","90","RES_0603"
"TP5","TopLayer","22.3100","4.7500","270",""
"TP2","TopLayer","14.6900","4.7500","0",""
"TP1","TopLayer","12.1500","4.7500","180",""
"J31","TopLayer","50.0000","25.0000","90","6PX1R Female Header"
"J30","TopLayer","47.0000","25.0000","90","6PX1R Female Header"
"J27","TopLayer","50.0000","41.0000","90","6PX1R Female Header"
"J26","TopLayer","47.0000","41.0000","90","6PX1R Female Header"
"J29","TopLayer","11.0000","25.0000","90","6PX1R Female Header"
"J28","TopLayer","8.0000","25.0000","90","6PX1R Female Header"
"TP7","BottomLayer","98.5000","39.0000","90",""
"R38","TopLayer","65.0000","66.2500","270","RES_0603"
"R37","TopLayer","60.7500","67.2500","180","RES_0603"
"R36","TopLayer","68.5000","66.2500","270","RES_0603"
"R35","TopLayer","66.7500","66.2500","90","RES_0603"
"U8","TopLayer","63.2500","75.6254","90","LM39302R HTC TO263 - Adjustable 3A Low-Voltage Low-Dropout Regulator"
"U1","TopLayer","28.3325","67.1000","180","5A 180KHz 36V Buck DC to DC Converter"
"R2","TopLayer","29.9600","60.5000","180","RES_0603"
"R1","TopLayer","33.7500","60.5000","180","RES_0603"
"L1","TopLayer","11.7500","58.0500","270","IND_1212"
"D1","TopLayer","13.7500","69.2500","180",""
"C7","TopLayer","21.0000","57.0000","90","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C6","TopLayer","18.9892","57.0000","90","1uF 105 0805 (2012 metric) 50V X7R MLCC SMD"
"C5","TopLayer","24.0000","55.5000","90","Electrolytic Capacitor Through Hole D10 P5.0"
"C4","TopLayer","35.0000","74.7500","90","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C3","TopLayer","37.5000","74.7500","90","1uF 105 0805 (2012 metric) 50V X7R MLCC SMD"
"C2","TopLayer","38.0000","66.0000","270","Electrolytic Capacitor Through Hole D10 P5.0"
"C1","TopLayer","31.8000","73.7500","180","1uF 105 0805 (2012 metric) 50V X7R MLCC SMD"
"U10","BottomLayer","36.0000","45.5000","0","AMS1117 LDO"
"TP9","BottomLayer","66.5000","44.5000","180",""
"TP8","BottomLayer","83.0000","50.0000","180",""
"C59","BottomLayer","43.2500","43.0000","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C58","BottomLayer","30.7500","43.0000","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C57","BottomLayer","28.7500","43.0000","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"U5","BottomLayer","61.0000","44.9000","90","AMS1117 LDO"
"C26","BottomLayer","55.0000","45.0000","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"U7","BottomLayer","124.0000","59.7500","270","AMS1117 LDO"
"C27","BottomLayer","126.0000","55.0000","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"U2","BottomLayer","116.5000","25.2500","270","AMS1117 LDO"
"C20","BottomLayer","117.7496","20.5131","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"R8","TopLayer","60.2500","58.2500","90","RES_0603"
"R7","TopLayer","58.5000","58.2500","90","RES_0603"
"C43","TopLayer","76.0000","75.7500","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C42","TopLayer","78.0000","75.7500","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C41","TopLayer","80.0000","75.7500","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C40","TopLayer","82.0000","75.7500","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C39","TopLayer","84.0000","75.7500","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C38","TopLayer","86.0000","75.7500","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C37","TopLayer","76.0000","80.5000","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C36","TopLayer","78.0000","80.5000","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C35","TopLayer","80.0000","80.5000","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C34","TopLayer","82.0000","80.5000","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C33","TopLayer","84.0000","80.5000","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C32","TopLayer","86.0000","80.5000","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"J21","TopLayer","59.0200","28.7000","270","Connector Header Surface Mount 20 position 0.100" (2.54mm)"
"C8","TopLayer","122.6670","75.0311","90","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"R4","TopLayer","115.5312","74.7084","180","RES_0201"
"R3","TopLayer","120.8689","74.8697","270","RES_0603"
"R5","TopLayer","115.5311","82.7500","180","RES_0201"
"L2","TopLayer","119.0685","74.8697","90","IND_0603"
"J15","TopLayer","118.9084","82.7500","270","uFL_50R"
"J14","TopLayer","120.7500","70.5000","270","uFL_50R"
